difficulty,n_a,n_b,entropy_a_bits,entropy_b_bits,kl_b_given_a,kl_a_given_b,total_variation,bayes_error,lorden_bound_probes
easy,400,198,4.164857129747765,4.33247560857507,2.149328402417628,1.594412302902827,0.7247132616487455,0.13764336917562725,4.285217820420613
medium,400,198,5.314147202213686,4.552692722117757,1.4499242302177844,1.4592069116316597,0.6346774193548386,0.18266129032258072,6.352290816322694
hard,398,200,4.152699799032967,4.592734575140774,0.1520313168003355,0.14050463929596133,0.18559821428571424,0.4072008928571429,60.58186277549797
